Date,HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,B365<2.5,FTHG,FTAG
05/08/2022,Crystal Palace,Arsenal,4.39,3.59,1.88,2.09,1.76,0.0,2.0
06/08/2022,Fulham,Liverpool,10.99,6.05,1.28,1.48,2.63,2.0,2.0
06/08/2022,Bournemouth,Aston Villa,3.8,3.5,2.04,2.03,1.8,2.0,0.0
06/08/2022,Leeds,Wolves,2.34,3.34,3.18,2.03,1.81,2.0,1.0
06/08/2022,Newcastle,Nottm Forest,1.67,3.8,5.57,2.03,1.81,2.0,0.0
06/08/2022,Tottenham,Southampton,1.36,5.27,8.64,1.61,2.34,4.0,1.0
06/08/2022,Everton,Chelsea,5.74,3.96,1.63,1.99,1.84,0.0,1.0
07/08/2022,Leicester,Brentford,2.03,3.66,3.64,1.77,2.08,2.0,2.0
07/08/2022,Man United,Brighton,1.62,4.01,5.68,1.89,1.93,1.0,2.0
07/08/2022,West Ham,Man City,8.32,5.25,1.37,1.54,2.47,0.0,2.0
13/08/2022,Brentford,Man United,3.77,3.56,2.02,1.82,2.02,4.0,0.0
13/08/2022,Wolves,Fulham,2.4,3.28,3.15,2.11,1.75,0.0,0.0
13/08/2022,Southampton,Leeds,2.32,3.51,3.1,1.73,2.13,2.0,2.0
13/08/2022,Arsenal,Leicester,1.55,4.37,6.04,1.69,2.21,4.0,2.0
13/08/2022,Brighton,Newcastle,2.44,3.25,3.1,2.13,1.73,0.0,0.0
13/08/2022,Aston Villa,Everton,1.82,3.56,4.87,2.08,1.77,2.0,1.0
13/08/2022,Man City,Bournemouth,1.07,12.72,37.57,1.33,3.35,4.0,0.0
14/08/2022,Nottm Forest,West Ham,4.21,3.64,1.9,1.9,1.93,1.0,0.0
14/08/2022,Chelsea,Tottenham,2.29,3.44,3.21,1.94,1.89,2.0,2.0
15/08/2022,Liverpool,Crystal Palace,1.2,6.85,16.33,1.55,2.46,1.0,1.0
20/08/2022,Leicester,Southampton,1.85,3.97,4.01,1.63,2.29,1.0,2.0
20/08/2022,Bournemouth,Arsenal,7.65,4.7,1.43,1.76,2.09,0.0,3.0
20/08/2022,Fulham,Brentford,2.46,3.42,2.92,1.93,1.9,3.0,2.0
20/08/2022,Everton,Nottm Forest,1.97,3.48,4.05,2.06,1.78,1.0,1.0
20/08/2022,Crystal Palace,Aston Villa,2.52,3.2,3.0,2.19,1.69,3.0,1.0
20/08/2022,Tottenham,Wolves,1.41,4.88,7.96,1.73,2.14,1.0,0.0
21/08/2022,Leeds,Chelsea,5.93,4.43,1.55,1.68,2.21,3.0,0.0
21/08/2022,West Ham,Brighton,2.32,3.41,3.14,1.96,1.85,0.0,2.0
21/08/2022,Newcastle,Man City,8.67,5.11,1.37,1.65,2.26,3.0,3.0
22/08/2022,Man United,Liverpool,5.22,4.38,1.6,1.5,2.58,2.0,1.0
27/08/2022,Arsenal,Fulham,1.32,5.77,9.44,1.49,2.62,2.0,1.0
27/08/2022,Man City,Crystal Palace,1.19,7.56,15.25,1.45,2.77,4.0,2.0
27/08/2022,Chelsea,Leicester,1.42,4.93,7.52,1.64,2.28,2.0,1.0
27/08/2022,Liverpool,Bournemouth,1.11,10.17,25.51,1.36,3.16,9.0,0.0
27/08/2022,Brentford,Everton,2.06,3.47,3.77,2.04,1.8,1.0,1.0
27/08/2022,Southampton,Man United,4.27,4.06,1.8,1.59,2.39,0.0,1.0
27/08/2022,Brighton,Leeds,1.91,3.73,4.04,1.82,2.01,1.0,0.0
28/08/2022,Aston Villa,West Ham,2.3,3.43,3.18,1.88,1.95,0.0,1.0
28/08/2022,Wolves,Newcastle,2.75,3.26,2.7,2.11,1.75,1.0,1.0
28/08/2022,Nottm Forest,Tottenham,6.98,4.59,1.47,1.74,2.12,0.0,2.0
30/08/2022,Crystal Palace,Brentford,2.1,3.42,3.72,2.09,1.77,1.0,1.0
30/08/2022,Fulham,Brighton,3.21,3.35,2.33,2.01,1.83,2.0,1.0
30/08/2022,Southampton,Chelsea,5.22,4.16,1.65,1.75,2.11,2.0,1.0
30/08/2022,Leeds,Everton,2.14,3.57,3.46,1.84,1.99,1.0,1.0
31/08/2022,Liverpool,Newcastle,1.31,5.81,9.58,1.49,2.61,2.0,1.0
